run_accession	experiment_title	sample_name
ERR1297502	Illumina HiSeq 2000 sequencing	FAT_006-22-0-0
ERR1297459	Illumina HiSeq 2000 sequencing	FAT_006-22-0-0
ERR1297480	Illumina HiSeq 2000 sequencing	FAT_006-22-0-0
ERR1297542	Illumina HiSeq 2000 sequencing	FAT_006-22-0-0
ERR1297781	Illumina HiSeq 2000 paired end sequencing	FAT_006-22-0-0
ERR1297773	Illumina HiSeq 2000 paired end sequencing	FAT_006-22-0-0
ERR1297797	Illumina HiSeq 2000 paired end sequencing	FAT_006-22-0-0
ERR1297836	Illumina HiSeq 2000 paired end sequencing	FAT_006-22-0-0
ERR1297535	Illumina HiSeq 2000 sequencing	FAT_006-22-14-0
ERR1297466	Illumina HiSeq 2000 sequencing	FAT_006-22-14-0
ERR1297568	Illumina HiSeq 2000 sequencing	FAT_006-22-14-0
ERR1297524	Illumina HiSeq 2000 sequencing	FAT_006-22-14-0
ERR1297791	Illumina HiSeq 2000 paired end sequencing	FAT_006-22-14-0
ERR1297739	Illumina HiSeq 2000 paired end sequencing	FAT_006-22-14-0
ERR1297644	Illumina HiSeq 2000 paired end sequencing	FAT_006-22-14-0
ERR1297750	Illumina HiSeq 2000 paired end sequencing	FAT_006-22-14-0
ERR1297599	Illumina HiSeq 2000 sequencing	FAT_006-22-2-0
ERR1297477	Illumina HiSeq 2000 sequencing	FAT_006-22-2-0
ERR1297550	Illumina HiSeq 2000 sequencing	FAT_006-22-2-0
ERR1297489	Illumina HiSeq 2000 sequencing	FAT_006-22-2-0
ERR1297760	Illumina HiSeq 2000 paired end sequencing	FAT_006-22-2-0
ERR1297757	Illumina HiSeq 2000 paired end sequencing	FAT_006-22-2-0
ERR1297780	Illumina HiSeq 2000 paired end sequencing	FAT_006-22-2-0
ERR1297830	Illumina HiSeq 2000 paired end sequencing	FAT_006-22-2-0
ERR1297544	Illumina HiSeq 2000 sequencing	FAT_006-22-42-0
ERR1297476	Illumina HiSeq 2000 sequencing	FAT_006-22-42-0
ERR1297521	Illumina HiSeq 2000 sequencing	FAT_006-22-42-0
ERR1297575	Illumina HiSeq 2000 sequencing	FAT_006-22-42-0
ERR1297710	Illumina HiSeq 2000 paired end sequencing	FAT_006-22-42-0
